title,description,department_id,number,course_id
South Asian Language Tutorials,"Individualized study of a South Asian language; emphasis on written expression, reading comprehension and oral fluency. Languages currently offered are Bahasa Indonesia, Bengali, and Burmese though others may be approved upon petition to the Director of Undergraduate Studies/Director of Graduate Studies.",141,SAS 100R,4768
Tutorial - Junior Year,,141,SAS 98R,4766
Tutorial - Senior Year,Students must complete both terms of this course (parts A and B) within the same academic year in order to receive credit.,141,SAS 99RA,4767
Sense and Scientific Sensibility,"Scientific inquiry is often considered an endeavor pursued using one's sense of vision: scientists peer into microscopes and telescopes, and stare at graphs, diagrams, and computer screens. But on what other senses do scientists rely? How do they gather data using senses of hearing, smell, taste, and touch (or, for that matter, less acknowledged perceptual systems, among them, balance, temperature, movement, pain, and time)? How do researchers evaluate sensory evidence? Further, what is the history of scientific studies of the senses? To address such questions, each week we will explore a different sense (from the canonical five to synaesthesia and ESP) by combining readings in the history of science with classic primary sources. Throughout, we will examine critical questions regarding how the senses are culturally and historically constructed, evaluated, and technologically mediated.",76,HISTSCI 164,2664
Physics and Chemistry: In the Context of Energy and Climate at the Global and Molecular Level,"A solution to the problems set by the intersection of global energy demand and climate feedbacks requires the teaching of physics and chemistry in that context. Core topics include thermodynamics, free energy, entropy, acid-base and oxidation-reduction reactions, electrochemistry, electromagnetic induction, circuit theory, AC and DC circuits, the nature of photons and of electromagnetic radiation, photochemistry, materials, catalysis, kinetics, molecular bonding, and biological processes for energy conversion and storage.",51,ENG-SCI 135,1335
Teaching 100: The Theory and Science of Teaching,"For many graduate students, teaching will be part of their career, whether as mentoring, formal classroom teaching, or outreach. In addition, the theory and research evidence accumulating in the disciplines of cognitive psychology, neuroscience, and from STEM classrooms, has turned the question of, &#39;How do we best teach science?&#39; into its own scientific discipline. The Theory and Science of Teaching focuses on understanding why certain teaching methods are effective by examining the scientific research and theoretical frameworks that support these methods. We will read and discuss foundational educational and cognitive psychology texts and primary literature, and then develop an annotated lesson plans that allows us to put these ideas into practice.",84,CELLBIO 306QC,3022
Behavioral Finance,"Theory and evidence on mispricing in financial markets due to investor psychology or institutional constraints. Broad themes are the practical limits of arbitrage, models of psychological behavior, and predictability of security returns. Specific topics may include market bubbles and crashes, closed end funds, value vs. growth, momentum, the money management industry, and short sale constraints.",45,ECON 1760,1002
Religion and Political Economy,"Recent research on religion has stressed social-science approaches. Parts of the work assess effects of economic and other forces on religious participation and beliefs. This topic includes models of secularization and of competition among alternative forms of religion, including analyses of the Reformation. Religious conversion and the club model of religious participation will be considered. Other aspects of the research analyze effects of religiosity on microeconomic variables, including work effort, thrift, education, health, and violence. Parts consider the impact of religion on macroeconomic outcomes, including economic growth. Additional work considers the interplay between religion and political institutions, including the role of state religion and interactions with Communism and democracy.",45,ECON 1450R,987
"Fundaments of Improvisation & Composition, Dance","A dance course that explores fundamental skills of improvisation and composition. Using wide-ranging musical styles, experimentation, problem solving, and an equal curiosity about both success and failure &mdash; this course explores the processes of analytical and intuitive decision making in the dancing body.&nbsp; Students will learn a series of specific physical tasks, tools, and systems taught through intensive exercises, guided improvisations and rigorous real-time composition. Physical research and written work in the course connect dance to architecture, the visual arts, mathematics, philosophy, science, theater, and literature in ways which link the mind and body to innovation.",99,MUSIC 105R,3627
Animal Cognition,"This course is an introduction to the study of animal cognition and thought processes. Topics include categorization, memory, number concepts, insight, and language-like behavior. The course requires reading and critiquing original journal articles.",124,PSY 980F,4237
Masterwork: The Choreographic Process of William Forsythe,"A comprehensive study of a William Forsythe work with one of his closest collaborators. Students will watch rare rehearsal and performance footage, and examine all aspects of the choreographic process from the first movement sketches to compositional modalities, lighting, music, and dramaturgical design. A unique, rigorous and interdisciplinary course of study which will include a collaborative process to create an original dance work for performance, and expose students to all aspects of a master work by a preeminent American dance innovator.",99,MUSIC 103R,3626
Molecular Aspects of Chromatin Dynamics,"This course will discuss the role of chromatin dynamics in modulating molecular and cellular processes. The genetic information encoded in our DNA is organized in a defined set of chromosomes, which are condensed about 10.000 fold in order to fit in the cell nucleus. This compaction occurs through packaging of the DNA around histone proteins, a structure known as chromatin. In what was thought to be a rigid structure, today we know that chromatin is an amazingly dynamic folding that plays a crucial role in controlling accessibility of factors to the DNA, and as such, it regulates a vast number of critical biological functions, including gene transcription, DNA replication, DNA repair and cellular identity. In this course we will attempt to cover some of the basic molecular mechanisms that play a role in regulating chromatin dynamics, and in turn how chromatin itself modulate biological processes, including basic mechanisms of inheritance. We will specifically discuss the role of DNA methylation, histone modifications, nucleosome dynamics and novel epigenetic modulators in the context of different biological processes for which chromatin accessibility appears to play a crucial role.",84,CELLBIO 307QC,3024
Contemporary Developing Countries: Entrepreneurial Solutions to Intractable Problems,"This course will provide a framework (and multiple lenses) through which to think about the salient economic and social problems of the five billion people of the developing world, and to work in a team setting toward identifying entrepreneurial solutions to such problems. Case study discussions will cover challenges and solutions in fields as diverse as health, education, technology, urban planning, and arts and the humanities. The modules themselves will be team-taught by faculty from engineering, the arts, urban design, healthcare and business. The course will embrace a bias toward action by enabling students to understand the potential of individual agency in addressing these problems. All students will participate in the development of a business plan or grant proposal to tackle their chosen problem in a specific developing country/region, emphasizing the importance of contextualizing the entrepreneurial intervention. The student-team will ideally be comprised of students with diverse backgrounds from across the University.",63,SOCWORLD 47,2060
Advanced Optimization,"This is a graduate level course on optimization which provides a foundation for applications such as statistical machine learning, signal processing, finance, and approximation algorithms. The course will cover fundamental concepts in optimization theory, modeling, and algorithmic techniques for solving large-scale optimization problems. Topics include elements of convex analysis, linear programming, Lagrangian duality, optimality conditions, and discrete and combinatorial optimization. Exercises and the class project will involve developing and implementing optimization algorithms.",47,APMTH 221,1132
Psychology of Close Relationships,"This course is an in-depth exploration of close relationships. Examples of topics to be covered include the biological bases of attraction; relationship formation; the end of relationships through break-up, divorce, or death; relationship satisfaction; deception; gender roles; same-sex relationships; loneliness; relationships and well-being; and public perceptions about relationships. You will have an opportunity to explore these topics primarily through critical examination of the empirical literature as well as through popular press.",124,PSY 1503,4266
Analytic Frameworks for Policy,"This course develops abilities in using analytic frameworks in the formulation and assessment of public policies. It considers a variety of analytic techniques, particularly those directed toward uncertainty and interactive decision problems. It emphasizes the application of techniques to policy analysis, not formal derivations. Students encounter case studies, methodological readings, modeling of current events, the computer, a final exam, and challenging problem sets.",45,ECON 1415,981
Communicating Science: From Print Culture to Cybersocieties,"Science doesn't just happen in the lab. Scientific results have to be communicated among scientists, and to the public. This course investigates the ways in which scientific knowledge circulates, and pays special attention to how new communications media have shaped knowledge-in-the-making. Topics will include the history of scientific genres (letters, encyclopedias, periodicals), popular science, peer review, intellectual property, and new information technologies. Selected classes will take place in Houghton Library.",76,HISTSCI 185,2671
"Jane Austen, Then and Now","This course considers Austen in her own historical context and ours, and as an author whose importance lies both inside and outside the university. In our first unit, we'll undertake a close reading of Persuasion in order to assess Austen's analysis of British society at a transitional moment in its history; in unit 2 we'll consider how film and television adaptations have reinvented her best known novel, Pride and Prejudice, for a different historical moment, and in unit 3 students will engage with Austen scholarship by writing a research paper on an Austen novel or film adaption of their choice.",54,EXPOS 20.144,1688
Resistance,"What constitutes an act of resistance? What role do individual beliefs, collective action, public protest, art and literature have in resistance movements? What can the study of resistance teach us about the past and about the world we live in today? This course will explore these questions through case studies drawn from contemporary politics and culture, the apartheid era in South Africa, and Harvard history.",54,EXPOS 20.156,1696
Negotiation and Conflict Management: From the Interpersonal to the International,"How can you best negotiate conflict in your own life? How should policymakers negotiate global conflict? Around the world, conflict imposes profound direct and indirect costs on global health and individual well-being, ranging from death and injury to trauma, the loss of social networks, and destabilization of political systems. Rather than focusing on how to address the aftermath of conflict and violence, this course examines theory and practical methods to prevent destructive conflict. Explores theory, frameworks, and tools developed to negotiate the substantive, emotional, and identity-based dimensions of conflict. Applies the theory to a diversity of real-life negotiations, ranging from interpersonal disputes between friends to international conflicts in the Middle East and elsewhere.This highly interactive course aims to improve students&#39; skill in resolving conflicts, and draws on a variety of learning methodologies, including lecture, case simulations, self-reflection exercises, and application of negotiation frameworks to conflicts depicted in movies. Students will have the opportunity to analyze firsthand case narratives of senior-level global leaders who have negotiated serious conflicts; these cases are part of an emerging Global Curriculum on Conflict Management spearheaded by the instructor, the Harvard International Negotiation Program, and the World Economic Forum.",69,GHHP 60,2146
Advanced Machine Learning,"Advanced statistical machine learning and probabilistic data analysis. Topics include: Markov chain Monte Carlo, variational inference, Bayesian nonparametrics, text topic modeling, unsupervised learning, dimensionality reduction and visualization. Requires a major final project.",50,COMPSCI 281,1278
Biological Synthesis,"This course will examine synthesis from a biological perspective, focusing on how organisms construct and manipulate metabolites, as well as how biological catalysts and systems can be used for small molecule production. Topics to be covered include mechanistic enzymology, biosynthetic pathways and logic, biocatalysis, protein engineering, and synthetic biology.",21,CHEM 171,503
Laboratory Research on Emotional Disorders,"Involves readings, seminar discussion, and research on emotional disorders conducted in the instructor's laboratory (e.g., social anxiety disorder, complicated grief, obsessive-compulsive disorder).",124,PSY 2410R,4321
Practical Crystallography in Chemistry and Materials Science,"Due to great technical advances, crystal structure analysis plays an increasingly important role in the structure determination of complex solids. This course involves the basic principles of crystallography and covers advanced aspects of practical crystal structure refinement. Topics include crystal symmetry, space groups, geometry of diffraction, structure factors, and structure refinement. Students will gain a working knowledge of x-ray crystallographic techniques, including how to: grow quality crystals, collect data, reduce data, determine a structure, visualize structure, utilize structural databases, publish crystallographic results. Watch Learning Crystal Structure Analysis at Harvard.",21,CHEM 255,512
Innovation and Entrepreneurship: American Experience in Comparative Perspective,"What gives rise to entrepreneurial opportunity and innovative activity? How do innovators and entrepreneurs think about the world? How are organizations born and how do they grow? How can innovation and entrepreneurship address the major challenges facing the world? The course will address these questions by bringing together faculty members of Harvard University to provide a diverse set of perspectives on the nature of innovation and entrepreneurship. The course has three complementary pedagogical methods. Members of the Harvard Business School faculty will provide a set of interactive lectures using case studies that illustrate how for-profit and not-for-profit organizations recognize and capitalize on opportunities. Second, faculty members from around the University will provide lectures on specific areas related to their expertise. Third, a set of group projects that allow students to work in the field with sponsoring organizations will be completed over the course of the semester.",64,US-WORLD 36,2083
Knowing the World: Studying the History of Science,"This is the graduate section to History of Science 100, Knowing the World: An Introduction to the History of Science.",76,HISTSCI 200,2677
Visual Recognition: Computational and biophysical perspective,"How does cerebral cortex store information, compute and learn? How can we build prosthetic devices to fix or augment brain function? How can we build biologically inspired artificial intelligence? This course will examine these questions in the context of visual cognition. Topics: architecture of visual cortex, neurophysiology, visual consciousness, computational neuroscience, models of pattern recognition and computer vision, artificial intelligence, brain-machine interfaces.",91,NEUROBIO 230,3353
Research Workshop in International Relations,Research workshop for advanced graduate students working on dissertation proposals in international relations. Part one of a two part series; students must complete both terms of this course (parts A and B) within the same academic year in order to receive credit.,70,GOV 3005A,2303
Setswana,"Individualized study of Setswana at the elementary, intermediate, and advanced levels. Contact hours with language coach. Emphasis on literacy.",1,AFRAMER 90R.X,26
Phonological Theory II,"This course addresses topics of current interest in phonological theory, potentially including competing constraint grammar frameworks, learnability, naturalness biases, prosody, quantitative approaches (experimental or corpus-driven), variation, gradience, and the morphological interface.",80,LING 215,2815
The Economy of China,"This course critically examines China's remarkable economic performance in the post-Mao era and places this performance in historical and comparative context. Topics covered include China's economic structure, institutions, inequality, trade, population, and public policy.",45,ECON 1310,971
"Entangled Objects: Or the Stuff of Science, Culture, and Society","This course focuses on things: from Medieval reliquaries to the modern clocks and big data. Its aim is to look at objects from a variety of angles (science, anthropology, art, cultural studies) and to investigate what makes them such powerful anchors--actors--of our daily lives. The readings and discussions will provide a strong theoretical background to the final assignment: designing and mounting a temporary exhibit.&nbsp;",76,HISTSCI 289,2703
"The Future of Globalization: Issues, Actors, and Decisions","What is the right balance between national sovereignty and international integration? Is the US equipped to sustain its role as a global leader? Should we regulate multi-national companies who move their factories to countries with lower labor standards? How should the IMF respond to financial crises in Europe and the developing world? How will the rise of China affect global inequality? These are all questions posed by globalization. This course uses basic economic logic to illuminate the choices faced by businesses, governments, international institutions and citizens as the global economy evolves. Policy issues are debated in class by the professors and students play the role of public and private actors in simulation exercises in order to experience the importance of the decisions made by individual actors for the evolution of the global system.",45,ECON 1400,12951
Supervised Reading and Research,Supervised reading--by an economics faculty member--leading to a long term paper on a topic or topics not covered by regular courses.,45,ECON 910R,931
Introduction to Histology for Graduate Students,"Histology&mdash;the study of structure and how structure relates to function, in cells and tissues. The class will include a session on each of the major tissue types&mdash;epithelium, connective, muscle, and nerve. This will be followed by sessions during which organ systems will be studied. Each session will include an introductory lecture followed by shared observation of slides using a 12-headed light microscope.&nbsp; Pathology correlates will be included when possible. In the last two sessions, students will have hands on training in tissue staining with recently developed compounds in the lab of Adrian Salic and learn frozen section technique on brain tissue from Stephen Liberles.",84,CELLBIO 308QC,3026
Pathology of Human Disease,"This course provides a comprehensive overview of human pathology with emphasis on mechanisms of disease and modern diagnostic technologies. Topics include (1) general mechanisms of disease (inflammation, infection, immune injury, host response to foreign materials, transplantation, genetic disorders and neoplasia), (2) pathology of major organ systems, and (3) review of diagnostic tools from invasive surgical pathology to non-invasive techniques such as diagnostic imaging and molecular pathology. The objectives of this course are achieved through a set of integrated lectures and laboratories, as well as a student-driven term project leading to a formal presentation on a medical, socioeconomic, or technological issue in human pathology.",87,HBTM 200,3171
History of Biotechnology,"What becomes of life when researchers can materially manipulate and technically transform living things? In this course, we will historically investigate biotechnology in the twentieth and twenty-first centuries, paying attention to how efforts to engineer life are grounded in social, cultural, and political contexts. Topics include reproductive technologies, genetic engineering and cloning, genetically modified foods, genomics, stem cells, intellectual property, and biosafety and biosecurity. The course is organized around five crosscutting domains in which we will explore the ethical, legal, and social impacts of biotechnology: (1) food, (2) property and law, (3) sex and reproduction, (4) disease and drugs, and (5) genomic identities. We will read and discuss historical accounts of biotechnology, primary scientific publications, and legal cases. We will learn to evaluate the social constitution and impact of biotechnology on daily life, as well as how to place contemporary issues and debates in biotechnology in historical context.",76,HISTSCI 136,2653
Quantitative Methods for Biologists,"The goal of this camp is to introduce you to programming in the MATLAB environment and to show you the power this provides for analyzing data and for gaining intuition about the behavior of complex systems through the use of numerical simulations. Some of you, upon encountering in the previous sentence words like &quot;programming&quot; and &quot;numerical simulations,&quot; will feel the cold hand of fear grip your stomach, because you have never done any programming and, in fact, have tried to avoid math as much as possible. If so, YOU ARE PRECISELY THE PERSON WE HAD IN MIND as we were planning the course. We are aiming to help you break through this barrier of darkness and fear into the radiant sunshine of quantitative enlightenment. The true beauty of MATLAB, as we will personally demonstrate, is that it allows people who are not mathematically adept (e.g. some of the instructors of this course) to use powerful numerical methods and visualization tools to gain an understanding of concepts that are very difficult to grasp analytically.",91,NEUROBIO 306QC,3365
Introductory Thai II,Continuation of Thai 101a.,143,THI 101B,13459
Teaching and Communicating Physics,"Hands-on, experienced-based course for graduate students on teaching and communicating physics, conducted through practice, observation, feedback, and discussion. Departmental rules for teaching fellows, section and laboratory teaching, office hours, assignments, grading, and difficult classroom situations.",123,PHYSICS 302,4143
Pacific History,"The Pacific Ocean covers a third of the Earth's surface and one-third of humanity lives on its shores and islands, from Russia to New Zealand and from Southeast Asia to South America. This seminar introduces students to oceanic and global history via works in Pacific history by scholars of the Pacific Islands, Asia, Australasia, Europe, and the Americas. Themes covered include cultural encounters, exploration, migration, history of science, geopolitics, and economic history.",72,HIST 1911,2454
Introduction to Non Fiction Videomaking,"Following an introductory exercise, each student will spend the term making a single nonfiction video on a subject of his or her choosing.",162,VES 52R,5160
Cities and Globalization,"This course investigates how ""the global city"" brings to the fore the opportunities and challenges of contemporary globalization. How do economic and cultural forms link cities like New York, Paris, and Mumbai? How is urban protest a response to globalization? We will answer these questions by reading a variety of texts - including theoretical works by Saskia Sassen and Ulf Hannerz, and literary non-fiction by Suketu Mehta - and viewing artistic interpretations, including the film ""La Haine.""",54,EXPOS 20.163,1698
Tragedy and Everyday Life,"In this course we will examine tragedies both ancient and modern, focusing on problems such as self-knowledge, certainty, intra- and interpersonal conflict, and loneliness. We will explore tragedy both as a form and as a collection of themes, and we will compare the idiosyncratic ways in which terms such as ""tragedy"" and ""tragic"" have developed within academic as well as mainstream contexts. Readings and screenings will include works by Sophocles, Shakespeare, Bergman, and Hitchcock.",54,EXPOS 20.164,1699
Social Worlds of Friendship,"Most of us appreciate the importance of friendship, but do we really understand how friendships are formed and how they shape our lives? Do friendships hold a larger potential for social transformation? This course explores the meaning and significance of friendship, particularly in terms of personal identity, community building, and social change. We will explore classical ideas about friendship and delve into contemporary issues such as friendship and difference, changes in personal communities, and the challenge that friendship poses to traditional relational forms.",54,EXPOS 20.167,1701
The United States and China: Opium War to the Present,"This research seminar will focus on the history of Sino-American relations and interactions since the Opium War (1840s). It will examine major episodes such as the Boxer intervention, the first and second world wars, the Korea and Vietnam wars, the Mao-Nixon rapprochement, and the post-Mao transformations, and explore central themes such as immigration, trade, culture, diplomacy, and security.",72,HIST 89J,2349
"Early Modern Europe, 1450-1789","This survey course explores European history from the end of the Middle Ages to the eighteenth century. Topics include the Renaissance in Southern and Northern Europe, the Reformation and the wars of religion, the rise of Absolutism, the Enlightenment, and the French Revolution. The course will introduce students to key figures (such as Machiavelli, Luther, Montaigne, Bacon, and Kant) as well as to topics in cultural and everyday history.",72,HIST 1155,2398
Mitigating Toxicity through Better Materials Design,"Manufacturing new materials is an important component of the world economy as demand ranges from smart phones and processed food to automobiles and airplanes. Rapid changes in the diversity and uses of materials often occur due to technological needs and economic drivers without consideration of environmental and health impacts. This can lead to large scale, global health and contamination problems such as large quantities of plastic waste in oceans, lead exposures from paint in children&rsquo;s toys, and widespread contamination of drinking water in regions exploited for hydraulic fracturing. The class will explore whether it is possible to use the latest advances in science, engineering, and nanotechnology to chart a sustainable material revolution. Guest lecturers from both industry and environmental regulatory agencies will be invited to speak to the class. Course evaluation will be based on in-class participation, presentations and a final project/review paper.",51,ENG-SCI 298R,10588
Reading the Body,"What does it mean-and what has it meant-to have a body? How does the way we think about our bodies depend upon the technologies we use to manage and measure them and the artistic forms we use to represent them? We will explore Harvard's collection of medical curiosities and instruments, analyze how Lamarck, Paley, Darwin, and Byatt theorize the human body, and explore contemporary representations of the body in many contexts, from films to athletics.",54,EXPOS 20.174,1707
Byzantine Civilization,"The Byzantine (Eastern Roman) Empire outlived the fall of Rome by a thousand years. In what ways did Byzantium preserve the institutions and politics of imperial Rome? In what ways was it a medieval civilization? How did Byzantium's professional armies, able diplomats, and brilliant intellectuals ensure its survival and renewed expansion? This course traces the story of the Byzantine Empire between c. 600 and 1453, setting it in the context of medieval and world history.",72,HIST 1035,2391
Interpreting Europe's Twentieth Century: Seminar,Historical and theoretical analyses of crises and transformation: critiques of liberalism; fascism and communism; legacies of world war and empire; postwar institutional constructions including the EU; ideological revival from the 1960s to the collapse of communism; the rise and attrition of a European civil society.,72,HIST 2250,2472
Plato's Symposium,Close reading of Plato&rsquo;s Symposium in Greek.,155,GREEK 110,4987
Exoplanet Systems,A survey of the rapidly evolving field of exoplanets with the goal of equipping students with the ability to identify and pursue research questions. Topics include observational methods and instrumentation to detect and characterize exoplanets; properties of stellar hosts; formation and dynamical evolution of planetary systems; composition and physical structure of planets; planetary atmospheres; habitable zones and biosignatures.,9,ASTRON 189,273
Qualifying Paper,"Guides students through the process of producing an original research paper of high quality. Readings and discussion cover the identification of appropriate research problems, the nature of causal reasoning, and data analysis and write-up.",137,SOCIOL 310,4725
Theopoetics and Poethics,"This course will explore approaches to God-talk that emphasize&mdash;both in content and in style&mdash;its character as intellectual discourse as well as creative practice. It will engage various contemporary &ldquo;theopoetic&rdquo; and &ldquo;poethics&rdquo; works to theorize their understandings of the relationship between the imagination, the world, and the divine. Readings will include philosophical and theological texts, including works by Rubem Alves, H&eacute;l&egrave;ne Cixous, Paul Tillich, and Amos Wilder, among others.",160,RELIGION 2479,13667
"Repression and Expression: Sexuality, Gender, and Language in Fin-de-siecle Literature and Art","Examines German and Austrian art and literature of the Turn-of-the-Century (c. 1880-1920) with a focus on the dominant topics of sexuality, gender, and language that are articulated theoretically in the work of Nietzsche and Freud and insistently exemplified thematically and formally in both the art and literature of the age. The examination of this period, these theories, this art, and this literature serves the primary purpose of developing skills in the interpretation of literary texts and the plastic arts, as well as exploring the possibilities and productivity of bringing these arts and the interpretation of them to bear on one another.",57,AESTHINT 52,12387
Making the Middle Ages,"This course offers a general introduction to the cultures and beliefs of medieval Europe. We focus on a variety of artifacts and cultural productions as the centerpieces of a broad and interdisciplinary exploration of medieval studies. Using specific objects and texts as points ofּ_וÛּ_ּ__ּ_והו־ּ_entry into a vanished world, we encourage students to explore those areas that interest them most, teasing out the cultures and beliefs of the past while simultaneously developing their skills in research and writing. Through collaborative projects and aּ_וÛּ_ּ__ּ_והו־ּ_creative exploration of texts, images, and collections at Harvard and beyond, students will be invited to make their own Middle Ages.ּ_וÛּ_ּ__ּ_והו־ּ_",58,CULTBLF 51,1964
Childhood in African America,"A seminar on children and childhood in African American history and cultures from 1773 through the present. Authors may include Phillis Wheatley, Frederick Douglass, W. E. B. Du Bois, Langston Hughes, Toni Morrison, and Suzan-Lori Parks; topics may include slavery, abolition, literacy, popular performance, film and television, Civil Rights, celebrity, the Moynihan Report, systemic violence (including poverty), education, and the American Girl Dolls.",1,AFRAMER 186X,74
Historical Jesus,The course will introduce the students to the history of the quest for the historical Jesus by examining the most relevant methodological issues and by reviewing the ideological and socio-political stakes in this enterprise that has been intertwined to the cultural history of the western world from the XVIII to the XXI century.,160,RELIGION 46,5071
Greek Exegesis of John,"The course will be devoted to a close reading and interpretation of the Gospel of John. The Greek text will be discussed with specific attention paid to literary structures, textual critical issues, historical context, and history of interpretation.",160,RELIGION 1425,5064
"Protestant-Catholic Relations in America, 1600-2000","With the earliest colonists to the Americas came the legacy of the great divide that separated Protestants from Catholics during the Reformation. From that time forward, the relationship between these groups has been central to the American experiment, shaping the contours of American democracy and national identity. This course will explore the complex and continuously evolving interplay between Protestants and Catholics and its influence on American history, literature, thought, politics, and culture. Anti-Catholicism will figure prominently in the readings and lectures, but so too will such themes as agency, cross-confessional exchange, and definition in opposition. We will pay particular attention to the waxing and waning of anti-Catholicism at different points in American history; changing conceptions of democracy, religious pluralism, secularism, church-state relations, and the category of religion itself; the distinctive contributions of Protestants and Catholics to American social movements; and the growing affinities between evangelical Protestants and Catholics in contemporary America.",160,RELIGION 1480,5076
